matricola,conta_multipli,conta_inversioni,game2stacks,rank_unrank_ABstrings,totale,
VR386385,0.0,0.0,0.0,0.0,0.0,
VR397297,0.0,0.0,0.0,0.0,0.0,
VR410467,100.0,100.0,100.0,0.0,300.0,
VR421196,0.0,0.0,0.0,0.0,0.0,
VR421907,0.0,0.0,0.0,0.0,0.0,
VR422000,100.0,100.0,100.0,0.0,300.0,
VR422014,0.0,0.0,0.0,0.0,0.0,
VR422019,100.0,100.0,100.0,0.0,300.0,
VR422153,100.0,100.0,100.0,0.0,300.0,
VR429228,0.0,0.0,0.0,0.0,0.0,
VR429591,100.0,100.0,100.0,0.0,300.0,
VR429595,100.0,60.0,100.0,0.0,260.0,
VR429620,100.0,100.0,100.0,0.0,300.0,
VR429625,100.0,100.0,100.0,50.0,350.0,
VR429626,100.0,100.0,100.0,0.0,300.0,
VR429663,100.0,100.0,100.0,100.0,400.0,
VR429667,100.0,100.0,100.0,0.0,300.0,
VR429669,100.0,100.0,100.0,100.0,400.0,
VR429670,100.0,100.0,100.0,0.0,300.0,
VR429674,100.0,0.0,100.0,0.0,200.0,
VR429677,0.0,0.0,0.0,0.0,0.0,
VR429684,100.0,100.0,100.0,0.0,300.0,
VR429685,100.0,100.0,100.0,100.0,400.0,
VR429690,100.0,60.0,100.0,100.0,360.0,
VR429697,100.0,100.0,100.0,80.0,380.0,
VR429705,0.0,100.0,100.0,0.0,200.0,
VR429709,100.0,100.0,100.0,100.0,400.0,
VR429713,100.0,100.0,100.0,0.0,300.0,
VR429714,100.0,100.0,100.0,0.0,300.0,
VR429718,100.0,0.0,100.0,0.0,200.0,
VR429721,0.0,0.0,0.0,0.0,0.0,
VR429723,100.0,0.0,100.0,0.0,200.0,
VR429871,100.0,100.0,100.0,0.0,300.0,
VR430523,0.0,0.0,0.0,0.0,0.0,
VR430800,0.0,0.0,0.0,0.0,0.0,
VR437007,0.0,0.0,0.0,0.0,0.0,
VR437011,100.0,100.0,100.0,0.0,300.0,
VR437012,100.0,100.0,0.0,50.0,250.0,
VR437017,0.0,0.0,0.0,0.0,0.0,
VR437029,0.0,0.0,0.0,0.0,0.0,
VR437077,100.0,100.0,100.0,0.0,300.0,
VR437079,100.0,0.0,0.0,0.0,100.0,
VR437111,100.0,100.0,100.0,0.0,300.0,
VR437112,100.0,100.0,100.0,0.0,300.0,
VR437121,100.0,100.0,100.0,0.0,300.0,
VR437123,100.0,100.0,100.0,0.0,300.0,
VR437127,0.0,0.0,100.0,0.0,100.0,
VR437128,100.0,100.0,100.0,0.0,300.0,
VR437144,60.0,15.0,100.0,0.0,175.0,
VR437150,0.0,0.0,0.0,0.0,0.0,
VR437151,100.0,100.0,100.0,0.0,300.0,
VR437156,100.0,100.0,100.0,0.0,300.0,
VR437168,100.0,100.0,100.0,50.0,350.0,
VR437191,0.0,0.0,0.0,0.0,0.0,
VR437206,40.0,0.0,0.0,0.0,40.0,
VR437208,100.0,100.0,100.0,0.0,300.0,
VR437210,100.0,100.0,100.0,0.0,300.0,
VR437216,0.0,0.0,0.0,0.0,0.0,
VR437227,100.0,100.0,100.0,0.0,300.0,
VR437233,0.0,0.0,0.0,0.0,0.0,
VR437257,100.0,100.0,100.0,0.0,300.0,
VR437265,100.0,0.0,100.0,0.0,200.0,
VR437269,100.0,100.0,100.0,80.0,380.0,
VR437271,0.0,0.0,0.0,0.0,0.0,
VR437289,100.0,100.0,100.0,0.0,300.0,
VR437299,0.0,0.0,0.0,0.0,0.0,
VR437316,0.0,0.0,0.0,0.0,0.0,
VR437327,0.0,0.0,0.0,0.0,0.0,
VR437332,100.0,100.0,100.0,0.0,300.0,
VR437373,100.0,100.0,100.0,0.0,300.0,
VR437423,0.0,0.0,0.0,0.0,0.0,
VR437463,0.0,0.0,0.0,0.0,0.0,
VR437468,100.0,100.0,100.0,100.0,400.0,
VR437498,0.0,0.0,0.0,0.0,0.0,
VR437564,100.0,0.0,100.0,0.0,200.0,
VR437605,100.0,100.0,100.0,0.0,300.0,
VR437653,100.0,0.0,0.0,0.0,100.0,
VR437909,100.0,0.0,100.0,0.0,200.0,
VR438958,0.0,0.0,0.0,0.0,0.0,
VR439308,100.0,0.0,100.0,0.0,200.0,
